timestamp,vehicle_id,speed_kmph,engine_rpm,fuel_level_pct,engine_temp_c,lat,lon,dtc_code
2025-05-01T09:00:00Z,CAR001,72.14,2671,61.8,74.6,12.976136,77.595407,
2025-05-01T09:01:00Z,CAR001,55.49,1956,60.56,81.2,12.964506,77.594941,
2025-05-01T09:02:00Z,CAR001,49.99,3293,65.16,89.3,12.962209,77.598312,
2025-05-01T09:03:00Z,CAR001,53.44,3960,92.44,108.8,12.96767,77.589185,P0420
2025-05-01T09:04:00Z,CAR001,93.5,3834,64.1,72.2,12.976942,77.591976,P0420
2025-05-01T09:05:00Z,CAR001,22.72,2284,94.98,93.1,12.969982,77.604183,
2025-05-01T09:06:00Z,CAR001,46.29,3061,30.13,106.6,12.967382,77.603662,P0171
2025-05-01T09:07:00Z,CAR001,52.5,3034,59.46,73.5,12.977841,77.597024,
2025-05-01T09:08:00Z,CAR001,31.37,2646,45.06,83.4,12.976248,77.602207,P0420
2025-05-01T09:09:00Z,CAR001,65.19,2862,43.4,73.4,12.965762,77.595529,P0420
2025-05-01T09:10:00Z,CAR001,30.49,2681,42.41,101.0,12.976268,77.596035,
2025-05-01T09:11:00Z,CAR001,89.74,1934,59.04,78.4,12.974138,77.590858,
2025-05-01T09:12:00Z,CAR001,44.09,1743,91.43,75.8,12.966791,77.590216,
2025-05-01T09:13:00Z,CAR001,85.55,2972,35.19,75.4,12.979489,77.590938,P0420
2025-05-01T09:14:00Z,CAR001,95.95,3474,97.99,101.1,12.970726,77.593502,
2025-05-01T09:15:00Z,CAR001,47.12,2216,84.61,106.8,12.972338,77.598765,
2025-05-01T09:16:00Z,CAR001,82.65,2336,26.68,109.8,12.97161,77.598547,
2025-05-01T09:17:00Z,CAR001,98.11,2267,60.23,94.2,12.968255,77.590978,
2025-05-01T09:18:00Z,CAR001,44.85,3590,93.93,105.1,12.971787,77.599615,P0420
2025-05-01T09:19:00Z,CAR001,56.99,1584,20.09,106.1,12.965663,77.592887,
2025-05-01T09:20:00Z,CAR001,41.86,1851,66.46,72.2,12.969761,77.58546,
2025-05-01T09:21:00Z,CAR001,30.14,3094,64.96,85.4,12.972012,77.59383,P0420
2025-05-01T09:22:00Z,CAR001,34.78,1733,33.03,85.1,12.981404,77.58648,
2025-05-01T09:23:00Z,CAR001,20.19,2823,94.07,76.0,12.967122,77.594771,P0420
2025-05-01T09:24:00Z,CAR001,46.41,2858,87.87,85.2,12.978423,77.586997,
2025-05-01T09:25:00Z,CAR001,59.29,3223,50.99,93.8,12.966867,77.594567,
2025-05-01T09:26:00Z,CAR001,75.91,2103,71.52,75.7,12.968813,77.590964,
2025-05-01T09:27:00Z,CAR001,36.94,2875,54.61,97.9,12.974569,77.595519,P0420
2025-05-01T09:28:00Z,CAR001,52.9,3421,64.97,88.4,12.966786,77.594611,
2025-05-01T09:29:00Z,CAR001,32.31,2432,44.67,76.4,12.977997,77.594945,P0171
2025-05-01T09:30:00Z,CAR001,84.06,3628,95.87,95.1,12.965698,77.594906,P0420
2025-05-01T09:31:00Z,CAR001,47.9,3686,27.36,70.8,12.976341,77.594316,
2025-05-01T09:32:00Z,CAR001,72.64,1561,89.39,88.1,12.974752,77.601078,
2025-05-01T09:33:00Z,CAR001,68.76,1786,66.18,73.5,12.968959,77.596016,
2025-05-01T09:34:00Z,CAR001,26.6,1510,98.35,87.2,12.962216,77.600899,
2025-05-01T09:35:00Z,CAR001,74.16,2645,20.73,76.7,12.974947,77.598963,
2025-05-01T09:36:00Z,CAR001,93.68,3134,38.16,84.0,12.972129,77.588254,
2025-05-01T09:37:00Z,CAR001,43.16,1856,97.07,91.4,12.97804,77.603568,
2025-05-01T09:38:00Z,CAR001,66.57,2278,48.88,107.0,12.965428,77.593605,P0420
2025-05-01T09:39:00Z,CAR001,77.27,2820,83.54,92.4,12.968973,77.598922,P0171
2025-05-01T09:40:00Z,CAR001,72.53,2575,70.97,85.3,12.975102,77.594555,
2025-05-01T09:41:00Z,CAR001,38.51,2970,74.85,100.7,12.969229,77.59269,
2025-05-01T09:42:00Z,CAR001,96.64,2280,95.2,87.6,12.978894,77.6045,
2025-05-01T09:43:00Z,CAR001,20.15,3664,66.27,74.2,12.980741,77.593045,
2025-05-01T09:44:00Z,CAR001,78.26,2021,66.59,99.7,12.973159,77.596166,P0420
2025-05-01T09:45:00Z,CAR001,38.06,1888,24.78,73.7,12.963443,77.593067,
2025-05-01T09:46:00Z,CAR001,87.48,3623,79.4,108.4,12.964576,77.598676,
2025-05-01T09:47:00Z,CAR001,70.74,2967,87.98,78.4,12.97172,77.589394,
2025-05-01T09:48:00Z,CAR001,96.55,3583,34.79,102.9,12.972994,77.602065,
2025-05-01T09:49:00Z,CAR001,37.88,1632,86.35,90.6,12.969641,77.601853,
2025-05-01T09:50:00Z,CAR001,33.64,2336,40.82,70.3,12.976718,77.587955,
2025-05-01T09:51:00Z,CAR001,29.68,1694,99.65,81.2,12.9711,77.598157,P0420
2025-05-01T09:52:00Z,CAR001,23.88,3863,26.44,78.6,12.965517,77.590481,
2025-05-01T09:53:00Z,CAR001,77.66,3073,31.9,99.4,12.976883,77.591149,
2025-05-01T09:54:00Z,CAR001,25.86,3333,32.69,79.8,12.98087,77.592439,P0171
2025-05-01T09:55:00Z,CAR001,62.02,3368,87.41,76.7,12.978223,77.584944,
2025-05-01T09:56:00Z,CAR001,99.25,3814,77.86,75.4,12.98066,77.602869,P0171
2025-05-01T09:57:00Z,CAR001,46.42,1751,92.3,86.9,12.981451,77.591991,
